full date,Country_Region,population,total,one_shot,one_shot_perc,two_shots,two_shots_perc,three_shots,three_shots_perc
2020-04-21,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-22,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-23,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-24,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-25,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-26,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-27,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-28,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-29,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-30,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,Canada,38454328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,Mexico,127504120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,US,338289856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
