full date,Country_Region,Confirmed,Recovered,Deaths,Case_Fatality_Ratio,Active,Incident_Rate,confirmed_1d,deaths_1d,confirmed_moving_avg_7d,deaths_moving_avg_7d,confirmed_moving_avg_7d_rate_14d,deaths_moving_avg_7d_rate_14d
2022-06-14,Canada,3918603.0,0.0,41517.0,0.010594847194267957,3877086.0,39.18603,860.0,1.0,2850.714285714286,31.0,0.0645505468124834,-0.27181208053691275
2022-06-15,Canada,3921020.0,0.0,41529.0,0.010591376733605032,3879491.0,39.2102,2417.0,12.0,2776.5714285714284,31.285714285714285,0.038469758495405015,-0.3091482649842271
2022-06-16,Canada,3923340.0,0.0,41579.0,0.010597857947565084,3881761.0,39.2334,2320.0,50.0,2573.4285714285716,33.42857142857143,-1.0046773925938082,-1.0057819179165328
2022-06-17,Canada,3926114.0,0.0,41673.0,0.01061431226907828,3884441.0,39.26114,2774.0,94.0,2639.1428571428573,32.0,0.027532120807608917,-0.31288343558282206
2022-06-18,Canada,3927871.0,0.0,41679.0,0.010611091861214382,3886192.0,39.27871,1757.0,6.0,2209.5714285714284,24.571428571428573,-0.04577703744833117,-0.4342105263157895
2022-06-19,Canada,3931351.0,0.0,41700.0,0.010607040683978611,3889651.0,39.31351,3480.0,21.0,2147.0,26.857142857142858,-0.09892679417231254,-0.3754152823920266
2022-06-20,Canada,3931351.0,0.0,41704.0,0.010608058145914725,3889647.0,39.31351,0.0,4.0,1944.0,26.857142857142858,-0.17880634844004584,-0.381578947368421
2022-06-21,Canada,3932624.0,0.0,41707.0,0.010605387141003056,3890917.0,39.32624,1273.0,3.0,2003.0,27.142857142857142,-0.15163066497246924,-0.3770491803278688
2022-06-22,Canada,3935054.0,0.0,41717.0,0.010601379294922001,3893337.0,39.35054,2430.0,10.0,2004.857142857143,26.857142857142858,-0.19515971784137176,-0.3561643835616438
2022-06-23,Canada,3938027.0,0.0,41743.0,0.010599978110866177,3896284.0,39.38027,2973.0,26.0,2098.1428571428573,23.428571428571427,-0.11879762404751892,-0.3223140495867769
2022-06-24,Canada,3942795.0,0.0,41807.0,0.01060339175635558,3900988.0,39.42795,4768.0,64.0,2383.0,19.142857142857142,0.04951554045551787,-0.3495145631067961
